A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,FRC1	: m	31754 	31754 	31754 	31754 	31754 	31754 	31754 	31754 	31754 
A,TOTAL,KM2,FRC11	: m	8802 	8802 	8802 	8802 	8802 	8802 	8802 	8802 	8802 
A,TOTAL,KM2,FRC12	: m	6875 	6875 	6875 	6875 	6875 	6875 	6875 	6875 	6875 
A,TOTAL,KM2,FRC13	: m	8615 	8615 	8615 	8615 	8615 	8615 	8615 	8615 	8615 
A,TOTAL,KM2,FRC14	: m	7462 	7462 	7462 	7462 	7462 	7462 	7462 	7462 	7462 
A,TOTAL,KM2,FRC2	: m	16308 	16308 	16308 	16308 	16308 	16308 	16308 	16308 	16308 
A,TOTAL,KM2,FRC21	: m	5256 	5256 	5256 	5256 	5256 	5256 	5256 	5256 	5256 
A,TOTAL,KM2,FRC22	: m	5050 	5050 	5050 	5050 	5050 	5050 	5050 	5050 	5050 
A,TOTAL,KM2,FRC23	: m	5391 	5391 	5391 	5391 	5391 	5391 	5391 	5391 	5391 
A,TOTAL,KM2,FRC24	: m	611 	611 	611 	611 	611 	611 	611 	611 	611 
A,TOTAL,KM2,FRD	: m	30113 	30113 	30113 	30113 	30113 	30113 	30113 	30113 	30113 
A,TOTAL,KM2,FRD1	: m	17758 	17758 	17758 	17758 	17758 	17758 	17758 	17758 	17758 
A,TOTAL,KM2,FRD11	: m	5605 	5605 	5605 	5605 	5605 	5605 	5605 	5605 	5605 
A,TOTAL,KM2,FRD12	: m	6007 	6007 	6007 	6007 	6007 	6007 	6007 	6007 	6007 
A,TOTAL,KM2,FRD13	: m	6146 	6146 	6146 	6146 	6146 	6146 	6146 	6146 	6146 
A,TOTAL,KM2,FRD2	: m	12355 	12355 	12355 	12355 	12355 	12355 	12355 	12355 	12355 
A,TOTAL,KM2,FRD21	: m	6034 	6034 	6034 	6034 	6034 	6034 	6034 	6034 	6034 
A,TOTAL,KM2,FRD22	: m	6321 	6321 	6321 	6321 	6321 	6321 	6321 	6321 	6321 
A,TOTAL,KM2,FRE	: m	31949 	31949 	31949 	31949 	31949 	31949 	31949 	31949 	31949 
A,TOTAL,KM2,FRE1	: m	12444 	12444 	12444 	12444 	12444 	12444 	12444 	12444 	12444 
A,TOTAL,KM2,FRE11	: m	5750 	5750 	5750 	5750 	5750 	5750 	5750 	5750 	5750 
A,TOTAL,KM2,FRE12	: m	6694 	6694 	6694 	6694 	6694 	6694 	6694 	6694 	6694 
A,TOTAL,KM2,FRE2	: m	19505 	19505 	19505 	19505 	19505 	19505 	19505 	19505 	19505 
A,TOTAL,KM2,FRE21	: m	7419 	7419 	7419 	7419 	7419 	7419 	7419 	7419 	7419 
A,TOTAL,KM2,FRE22	: m	5890 	5890 	5890 	5890 	5890 	5890 	5890 	5890 	5890 
A,TOTAL,KM2,FRE23	: m	6196 	6196 	6196 	6196 	6196 	6196 	6196 	6196 	6196 
A,TOTAL,KM2,FRF	: m	57718 	57718 	57718 	57718 	57718 	57718 	57718 	57718 	57718 
A,TOTAL,KM2,FRF1	: m	8329 	8329 	8329 	8329 	8329 	8329 	8329 	8329 	8329 
A,TOTAL,KM2,FRF11	: m	4797 	4797 	4797 	4797 	4797 	4797 	4797 	4797 	4797 
A,TOTAL,KM2,FRF12	: m	3532 	3532 	3532 	3532 	3532 	3532 	3532 	3532 	3532 
A,TOTAL,KM2,FRF2	: m	25720 	25720 	25720 	25720 	25720 	25720 	25720 	25720 	25720 
A,TOTAL,KM2,FRF21	: m	5245 	5245 	5245 	5245 	5245 	5245 	5245 	5245 	5245 
A,TOTAL,KM2,FRF22	: m	6028 	6028 	6028 	6028 	6028 	6028 	6028 	6028 	6028 
A,TOTAL,KM2,FRF23	: m	8190 	8190 	8190 	8190 	8190 	8190 	8190 	8190 	8190 
A,TOTAL,KM2,FRF24	: m	6257 	6257 	6257 	6257 	6257 	6257 	6257 	6257 	6257 
A,TOTAL,KM2,FRF3	: m	23669 	23669 	23669 	23669 	23669 	23669 	23669 	23669 	23669 
A,TOTAL,KM2,FRF31	: m	5285 	5285 	5285 	5285 	5285 	5285 	5285 	5285 	5285 
A,TOTAL,KM2,FRF32	: m	6235 	6235 	6235 	6235 	6235 	6235 	6235 	6235 	6235 
A,TOTAL,KM2,FRF33	: m	6252 	6252 	6252 	6252 	6252 	6252 	6252 	6252 	6252 
A,TOTAL,KM2,FRF34	: m	5897 	5897 	5897 	5897 	5897 	5897 	5897 	5897 	5897 
A,TOTAL,KM2,FRG	: m	32376 	32376 	32376 	32376 	32376 	32376 	32376 	32376 	32376 
A,TOTAL,KM2,FRG0	: m	32376 	32376 	32376 	32376 	32376 	32376 	32376 	32376 	32376 
A,TOTAL,KM2,FRG01	: m	6912 	6912 	6912 	6912 	6912 	6912 	6912 	6912 	6912 
A,TOTAL,KM2,FRG02	: m	7232 	7232 	7232 	7232 	7232 	7232 	7232 	7232 	7232 
A,TOTAL,KM2,FRG03	: m	5213 	5213 	5213 	5213 	5213 	5213 	5213 	5213 	5213 
A,TOTAL,KM2,FRG04	: m	6246 	6246 	6246 	6246 	6246 	6246 	6246 	6246 	6246 
A,TOTAL,KM2,FRG05	: m	6773 	6773 	6773 	6773 	6773 	6773 	6773 	6773 	6773 
A,TOTAL,KM2,FRH	: m	27471 	27471 	27471 	27471 	27471 	27471 	27471 	27471 	27471 
A,TOTAL,KM2,FRH0	: m	27471 	27471 	27471 	27471 	27471 	27471 	27471 	27471 	27471 
A,TOTAL,KM2,FRH01	: m	6988 	6988 	6988 	6988 	6988 	6988 	6988 	6988 	6988 
A,TOTAL,KM2,FRH02	: m	6765 	6765 	6765 	6765 	6765 	6765 	6765 	6765 	6765 
A,TOTAL,KM2,FRH03	: m	6839 	6839 	6839 	6839 	6839 	6839 	6839 	6839 	6839 
A,TOTAL,KM2,FRH04	: m	6879 	6879 	6879 	6879 	6879 	6879 	6879 	6879 	6879 
A,TOTAL,KM2,FRI	: m	84827 	84827 	84827 	84827 	84827 	84827 	84827 	84827 	84827 
A,TOTAL,KM2,FRI1	: m	41804 	41804 	41804 	41804 	41804 	41804 	41804 	41804 	41804 
A,TOTAL,KM2,FRI11	: m	9222 	9222 	9222 	9222 	9222 	9222 	9222 	9222 	9222 
A,TOTAL,KM2,FRI12	: m	10160 	10160 	10160 	10160 	10160 	10160 	10160 	10160 	10160 
A,TOTAL,KM2,FRI13	: m	9352 	9352 	9352 	9352 	9352 	9352 	9352 	9352 	9352 
A,TOTAL,KM2,FRI14	: m	5385 	5385 	5385 	5385 	5385 	5385 	5385 	5385 	5385 
A,TOTAL,KM2,FRI15	: m	7685 	7685 	7685 	7685 	7685 	7685 	7685 	7685 	7685 
A,TOTAL,KM2,FRI2	: m	17056 	17056 	17056 	17056 	17056 	17056 	17056 	17056 	17056 
A,TOTAL,KM2,FRI21	: m	5899 	5899 	5899 	5899 	5899 	5899 	5899 	5899 	5899 
A,TOTAL,KM2,FRI22	: m	5600 	5600 	5600 	5600 	5600 	5600 	5600 	5600 	5600 
A,TOTAL,KM2,FRI23	: m	5557 	5557 	5557 	5557 	5557 	5557 	5557 	5557 	5557 
A,TOTAL,KM2,FRI3	: m	25967 	25967 	25967 	25967 	25967 	25967 	25967 	25967 	25967 
A,TOTAL,KM2,FRI31	: m	5974 	5974 	5974 	5974 	5974 	5974 	5974 	5974 	5974 
A,TOTAL,KM2,FRI32	: m	6914 	6914 	6914 	6914 	6914 	6914 	6914 	6914 	6914 
A,TOTAL,KM2,FRI33	: m	6040 	6040 	6040 	6040 	6040 	6040 	6040 	6040 	6040 
A,TOTAL,KM2,FRI34	: m	7039 	7039 	7039 	7039 	7039 	7039 	7039 	7039 	7039 
A,TOTAL,KM2,FRJ	: m	73246 	73246 	73246 	73246 	73246 	73246 	73246 	73246 	73246 
A,TOTAL,KM2,FRJ1	: m	27643 	27643 	27643 	27643 	27643 	27643 	27643 	27643 	27643 
A,TOTAL,KM2,FRJ11	: m	6323 	6323 	6323 	6323 	6323 	6323 	6323 	6323 	6323 
A,TOTAL,KM2,FRJ12	: m	5875 	5875 	5875 	5875 	5875 	5875 	5875 	5875 	5875 
A,TOTAL,KM2,FRJ13	: m	6162 	6162 	6162 	6162 	6162 	6162 	6162 	6162 	6162 
A,TOTAL,KM2,FRJ14	: m	5176 	5176 	5176 	5176 	5176 	5176 	5176 	5176 	5176 
A,TOTAL,KM2,FRJ15	: m	4107 	4107 	4107 	4107 	4107 	4107 	4107 	4107 	4107 
A,TOTAL,KM2,FRJ2	: m	45603 	45603 	45603 	45603 	45603 	45603 	45603 	45603 	45603 
A,TOTAL,KM2,FRJ21	: m	4911 	4911 	4911 	4911 	4911 	4911 	4911 	4911 	4911 
A,TOTAL,KM2,FRJ22	: m	8773 	8773 	8773 	8773 	8773 	8773 	8773 	8773 	8773 
A,TOTAL,KM2,FRJ23	: m	6358 	6358 	6358 	6358 	6358 	6358 	6358 	6358 	6358 
A,TOTAL,KM2,FRJ24	: m	6301 	6301 	6301 	6301 	6301 	6301 	6301 	6301 	6301 
A,TOTAL,KM2,FRJ25	: m	5226 	5226 	5226 	5226 	5226 	5226 	5226 	5226 	5226 
A,TOTAL,KM2,FRJ26	: m	4521 	4521 	4521 	4521 	4521 	4521 	4521 	4521 	4521 
A,TOTAL,KM2,FRJ27	: m	5782 	5782 	5782 	5782 	5782 	5782 	5782 	5782 	5782 
A,TOTAL,KM2,FRJ28	: m	3731 	3731 	3731 	3731 	3731 	3731 	3731 	3731 	3731 
A,TOTAL,KM2,FRK	: m	71134 	71134 	71134 	71134 	71134 	71134 	71134 	71134 	71134 
A,TOTAL,KM2,FRK1	: m	26172 	26172 	26172 	26172 	26172 	26172 	26172 	26172 	26172 
A,TOTAL,KM2,FRK11	: m	7379 	7379 	7379 	7379 	7379 	7379 	7379 	7379 	7379 
A,TOTAL,KM2,FRK12	: m	5774 	5774 	5774 	5774 	5774 	5774 	5774 	5774 	5774 
A,TOTAL,KM2,FRK13	: m	5004 	5004 	5004 	5004 	5004 	5004 	5004 	5004 	5004 
A,TOTAL,KM2,FRK14	: m	8015 	8015 	8015 	8015 	8015 	8015 	8015 	8015 	8015 
A,TOTAL,KM2,FRK2	: m	44962 	44962 	44962 	44962 	44962 	44962 	44962 	44962 	44962 
A,TOTAL,KM2,FRK21	: m	5785 	5785 	5785 	5785 	5785 	5785 	5785 	5785 	5785 
A,TOTAL,KM2,FRK22	: m	5566 	5566 	5566 	5566 	5566 	5566 	5566 	5566 	5566 
A,TOTAL,KM2,FRK23	: m	6559 	6559 	6559 	6559 	6559 	6559 	6559 	6559 	6559 
A,TOTAL,KM2,FRK24	: m	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 
A,TOTAL,KM2,FRK25	: m	4804 	4804 	4804 	4804 	4804 	4804 	4804 	4804 	4804 
A,TOTAL,KM2,FRK26	: m	3259 	3259 	3259 	3259 	3259 	3259 	3259 	3259 	3259 
A,TOTAL,KM2,FRK27	: m	6270 	6270 	6270 	6270 	6270 	6270 	6270 	6270 	6270 
A,TOTAL,KM2,FRK28	: m	4840 	4840 	4840 	4840 	4840 	4840 	4840 	4840 	4840 
A,TOTAL,KM2,FRL	: m	31839 	31839 	31839 	31839 	31839 	31839 	31839 	31839 	31839 
A,TOTAL,KM2,FRL0	: m	31839 	31839 	31839 	31839 	31839 	31839 	31839 	31839 	31839 
A,TOTAL,KM2,FRL01	: m	6995 	6995 	6995 	6995 	6995 	6995 	6995 	6995 	6995 
A,TOTAL,KM2,FRL02	: m	5691 	5691 	5691 	5691 	5691 	5691 	5691 	5691 	5691 
A,TOTAL,KM2,FRL03	: m	4296 	4296 	4296 	4296 	4296 	4296 	4296 	4296 	4296 
A,TOTAL,KM2,FRL04	: m	5247 	5247 	5247 	5247 	5247 	5247 	5247 	5247 	5247 
A,TOTAL,KM2,FRL05	: m	6032 	6032 	6032 	6032 	6032 	6032 	6032 	6032 	6032 
A,TOTAL,KM2,FRL06	: m	3578 	3578 	3578 	3578 	3578 	3578 	3578 	3578 	3578 
A,TOTAL,KM2,FRM	: m	8726 	8726 	8726 	8726 	8726 	8726 	8726 	8726 	8726 
A,TOTAL,KM2,FRM0	: m	8726 	8726 	8726 	8726 	8726 	8726 	8726 	8726 	8726 
A,TOTAL,KM2,FRM01	: m	4019 	4019 	4019 	4019 	4019 	4019 	4019 	4019 	4019 
A,TOTAL,KM2,FRM02	: m	4707 	4707 	4707 	4707 	4707 	4707 	4707 	4707 	4707 
A,TOTAL,KM2,FRY	: m	89415 	89415 	89415 	89415 	89415 	89415 	89415 	89415 	89415 
A,TOTAL,KM2,FRY1	: m	1685 	1685 	1685 	1685 	1685 	1685 	1685 	1685 	1685 
A,TOTAL,KM2,FRY10	: m	1685 	1685 	1685 	1685 	1685 	1685 	1685 	1685 	1685 
A,TOTAL,KM2,FRY2	: m	1108 	1108 	1108 	1108 	1108 	1108 	1108 	1108 	1108 
A,TOTAL,KM2,FRY20	: m	1108 	1108 	1108 	1108 	1108 	1108 	1108 	1108 	1108 
A,TOTAL,KM2,FRY3	: m	83751 	83751 	83751 	83751 	83751 	83751 	83751 	83751 	83751 
A,TOTAL,KM2,FRY30	: m	83751 	83751 	83751 	83751 	83751 	83751 	83751 	83751 	83751 
A,TOTAL,KM2,FRY4	: m	2504 	2504 	2504 	2504 	2504 	2504 	2504 	2504 	2504 
A,TOTAL,KM2,FRY40	: m	2504 	2504 	2504 	2504 	2504 	2504 	2504 	2504 	2504 
A,TOTAL,KM2,FRY5	: m	367 	367 	367 	367 	367 	367 	367 	367 	367 
A,TOTAL,KM2,FRY50	: m	367 	367 	367 	367 	367 	367 	367 	367 	367 
A,TOTAL,KM2,HR	56594 	56594 	56594 	56594 	56594 	56594 	56594 	56594 	56594 	56594 
A,TOTAL,KM2,HR0	56594 	56594 	56594 	56594 	56594 	56594 	56594 	56594 	56594 	56594 
A,TOTAL,KM2,HR02	: m	: m	: m	: m	23220 	23220 	23220 	23220 	23220 	23220 
A,TOTAL,KM2,HR021	: m	: m	: m	: m	2640 	2640 	2640 	2640 	2640 	2640 
A,TOTAL,KM2,HR022	: m	: m	: m	: m	2024 	2024 	2024 	2024 	2024 	2024 
A,TOTAL,KM2,HR023	: m	: m	: m	: m	1823 	1823 	1823 	1823 	1823 	1823 
A,TOTAL,KM2,HR024	: m	: m	: m	: m	2030 	2030 	2030 	2030 	2030 	2030 
A,TOTAL,KM2,HR025	: m	: m	: m	: m	4155 	4155 	4155 	4155 	4155 	4155 
A,TOTAL,KM2,HR026	: m	: m	: m	: m	2454 	2454 	2454 	2454 	2454 	2454 
A,TOTAL,KM2,HR027	: m	: m	: m	: m	3626 	3626 	3626 	3626 	3626 	3626 
A,TOTAL,KM2,HR028	: m	: m	: m	: m	4468 	4468 	4468 	4468 	4468 	4468 
A,TOTAL,KM2,HR03	24705 	24705 	24705 	24705 	24705 	24705 	24705 	24705 	24705 	24705 
A,TOTAL,KM2,HR031	3588 	3588 	3588 	3588 	3588 	3588 	3588 	3588 	3588 	3588 
A,TOTAL,KM2,HR032	5353 	5353 	5353 	5353 	5353 	5353 	5353 	5353 	5353 	5353 
A,TOTAL,KM2,HR033	3646 	3646 	3646 	3646 	3646 	3646 	3646 	3646 	3646 	3646 
A,TOTAL,KM2,HR034	2984 	2984 	2984 	2984 	2984 	2984 	2984 	2984 	2984 	2984 
A,TOTAL,KM2,HR035	4540 	4540 	4540 	4540 	4540 	4540 	4540 	4540 	4540 	4540 
A,TOTAL,KM2,HR036	2813 	2813 	2813 	2813 	2813 	2813 	2813 	2813 	2813 	2813 
A,TOTAL,KM2,HR037	1781 	1781 	1781 	1781 	1781 	1781 	1781 	1781 	1781 	1781 
A,TOTAL,KM2,HR04	31889 	31889 	31889 	31889 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR041	641 	641 	641 	641 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR042	3060 	3060 	3060 	3060 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR043	1229 	1229 	1229 	1229 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR044	1262 	1262 	1262 	1262 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR045	1748 	1748 	1748 	1748 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR046	729 	729 	729 	729 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR047	2640 	2640 	2640 	2640 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR048	2024 	2024 	2024 	2024 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR049	1823 	1823 	1823 	1823 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR04A	2030 	2030 	2030 	2030 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR04B	4155 	4155 	4155 	4155 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR04C	2454 	2454 	2454 	2454 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR04D	3626 	3626 	3626 	3626 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR04E	4468 	4468 	4468 	4468 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HR05	: m	: m	: m	: m	641 	641 	641 	641 	641 	641 
A,TOTAL,KM2,HR050	: m	: m	: m	: m	641 	641 	641 	641 	641 	641 
A,TOTAL,KM2,HR06	: m	: m	: m	: m	8028 	8028 	8028 	8028 	8028 	8028 
A,TOTAL,KM2,HR061	: m	: m	: m	: m	729 	729 	729 	729 	729 	729 
A,TOTAL,KM2,HR062	: m	: m	: m	: m	1262 	1262 	1262 	1262 	1262 	1262 
A,TOTAL,KM2,HR063	: m	: m	: m	: m	1748 	1748 	1748 	1748 	1748 	1748 
A,TOTAL,KM2,HR064	: m	: m	: m	: m	1229 	1229 	1229 	1229 	1229 	1229 
A,TOTAL,KM2,HR065	: m	: m	: m	: m	3060 	3060 	3060 	3060 	3060 	3060 
A,TOTAL,KM2,HU	93013 	93012 	93012 	93012 	93012 	93012 	93012 	93012 	93012 	93012 
A,TOTAL,KM2,HU1	6916 	6916 	6916 	6916 	6916 	6916 	6916 	6916 	6916 	6916 
A,TOTAL,KM2,HU10	6916 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HU101	525 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HU102	6391 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,HU11	: m	525 	525 	525 	525 	525 	525 	525 	525 	525 
A,TOTAL,KM2,HU110	: m	525 	525 	525 	525 	525 	525 	525 	525 	525 
A,TOTAL,KM2,HU12	: m	6391 	6391 	6391 	6391 	6391 	6391 	6391 	6391 	6391 
A,TOTAL,KM2,HU120	: m	6391 	6391 	6391 	6391 	6391 	6391 	6391 	6391 	6391 
A,TOTAL,KM2,HU2	36612 	36611 	36611 	36611 	36611 	36611 	36611 	36611 	36611 	36611 
A,TOTAL,KM2,HU21	11086 	11086 	11086 	11086 	11086 	11086 	11086 	11086 	11086 	11086 
A,TOTAL,KM2,HU211	4359 	4359 	4359 	4359 	4359 	4359 	4359 	4359 	4359 	4359 
A,TOTAL,KM2,HU212	2264 	2264 	2264 	2264 	2264 	2264 	2264 	2264 	2264 	2264 
A,TOTAL,KM2,HU213	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 
A,TOTAL,KM2,HU22	11329 	11328 	11328 	11328 	11328 	11328 	11328 	11328 	11328 	11328 
A,TOTAL,KM2,HU221	4208 	4208 	4208 	4208 	4208 	4208 	4208 	4208 	4208 	4208 
A,TOTAL,KM2,HU222	3336 	3336 	3336 	3336 	3336 	3336 	3336 	3336 	3336 	3336 
A,TOTAL,KM2,HU223	3784 	3784 	3784 	3784 	3784 	3784 	3784 	3784 	3784 	3784 
A,TOTAL,KM2,HU23	14197 	14197 	14197 	14197 	14197 	14197 	14197 	14197 	14197 	14197 
A,TOTAL,KM2,HU231	4429 	4429 	4429 	4429 	4429 	4429 	4429 	4429 	4429 	4429 
A,TOTAL,KM2,HU232	6065 	6065 	6065 	6065 	6065 	6065 	6065 	6065 	6065 	6065 
A,TOTAL,KM2,HU233	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 
A,TOTAL,KM2,HU3	49485 	49485 	49485 	49485 	49485 	49485 	49485 	49485 	49485 	49485 
A,TOTAL,KM2,HU31	13426 	13426 	13426 	13426 	13426 	13426 	13426 	13426 	13426 	13426 
A,TOTAL,KM2,HU311	7245 	7245 	7245 	7245 	7245 	7245 	7245 	7245 	7245 	7245 
A,TOTAL,KM2,HU312	3637 	3637 	3637 	3637 	3637 	3637 	3637 	3637 	3637 	3637 
A,TOTAL,KM2,HU313	2544 	2544 	2544 	2544 	2544 	2544 	2544 	2544 	2544 	2544 
A,TOTAL,KM2,HU32	17723 	17723 	17723 	17723 	17723 	17723 	17723 	17723 	17723 	17723 
A,TOTAL,KM2,HU321	6209 	6209 	6209 	6209 	6209 	6209 	6209 	6209 	6209 	6209 
A,TOTAL,KM2,HU322	5582 	5582 	5582 	5582 	5582 	5582 	5582 	5582 	5582 	5582 
A,TOTAL,KM2,HU323	5932 	5932 	5932 	5932 	5932 	5932 	5932 	5932 	5932 	5932 
A,TOTAL,KM2,HU33	18336 	18336 	18336 	18336 	18336 	18336 	18336 	18336 	18336 	18336 
A,TOTAL,KM2,HU331	8444 	8444 	8444 	8444 	8444 	8444 	8444 	8444 	8444 	8444 
A,TOTAL,KM2,HU332	5630 	5630 	5630 	5630 	5630 	5630 	5630 	5630 	5630 	5630 
A,TOTAL,KM2,HU333	4262 	4262 	4262 	4262 	4262 	4262 	4262 	4262 	4262 	4262 
A,TOTAL,KM2,IE	69946 	69947 	69947 	69947 	69947 	69947 	69947 	69947 	69947 	69947 
A,TOTAL,KM2,IE0	69946 	69947 	69947 	69947 	69947 	69947 	69947 	69947 	69947 	69947 
A,TOTAL,KM2,IE01	33273 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE011	12339 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE012	6651 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE013	14283 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE02	36673 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE021	926 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE022	6062 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE023	7977 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE024	9455 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE025	12253 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,IE04	: m	25796 	25796 	25796 	25796 	25796 	25796 	25796 	25796 	25796 
A,TOTAL,KM2,IE041	: m	11513 	11513 	11513 	11513 	11513 	11513 	11513 	11513 	11513 
A,TOTAL,KM2,IE042	: m	14283 	14283 	14283 	14283 	14283 	14283 	14283 	14283 	14283 
A,TOTAL,KM2,IE05	: m	29685 	29685 	29685 	29685 	29685 	29685 	29685 	29685 	29685 
A,TOTAL,KM2,IE051	: m	10236 	10236 	10236 	10236 	10236 	10236 	10236 	10236 	10236 
A,TOTAL,KM2,IE052	: m	7196 	7196 	7196 	7196 	7196 	7196 	7196 	7196 	7196 
A,TOTAL,KM2,IE053	: m	12253 	12253 	12253 	12253 	12253 	12253 	12253 	12253 	12253 
A,TOTAL,KM2,IE06	: m	14466 	14466 	14466 	14466 	14466 	14466 	14466 	14466 	14466 
A,TOTAL,KM2,IE061	: m	926 	926 	926 	926 	926 	926 	926 	926 	926 
A,TOTAL,KM2,IE062	: m	6889 	6889 	6889 	6889 	6889 	6889 	6889 	6889 	6889 
A,TOTAL,KM2,IE063	: m	6651 	6651 	6651 	6651 	6651 	6651 	6651 	6651 	6651 
A,TOTAL,KM2,IS	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 
A,TOTAL,KM2,IS0	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 
A,TOTAL,KM2,IS00	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 	102679 
A,TOTAL,KM2,IS001	1044 	1044 	1044 	1044 	1044 	1044 	1044 	1044 	1044 	1044 
A,TOTAL,KM2,IS002	101635 	101635 	101635 	101635 	101635 	101635 	101635 	101635 	101635 	101635 
A,TOTAL,KM2,IT	302073 	302073 	302073 	302073 	302079 	302079 	302079 	302073 	302073 	302073 
A,TOTAL,KM2,ITC	57928 	57928 	57928 	57928 	57928 	57928 	57928 	57928 	57928 	57928 
A,TOTAL,KM2,ITC1	25387 	25387 	25387 	25387 	25387 	25387 	25387 	25387 	25387 	25387 
A,TOTAL,KM2,ITC11	6827 	6827 	6827 	6827 	6827 	6827 	6827 	6827 	6827 	6827 
A,TOTAL,KM2,ITC12	2082 	2082 	2082 	2082 	2082 	2082 	2082 	2082 	2082 	2082 
A,TOTAL,KM2,ITC13	913 	913 	913 	913 	913 	913 	913 	913 	913 	913 
A,TOTAL,KM2,ITC14	2261 	2261 	2261 	2261 	2261 	2261 	2261 	2261 	2261 	2261 
A,TOTAL,KM2,ITC15	1340 	1340 	1340 	1340 	1340 	1340 	1340 	1340 	1340 	1340 
A,TOTAL,KM2,ITC16	6895 	6895 	6895 	6895 	6895 	6895 	6895 	6895 	6895 	6895 
A,TOTAL,KM2,ITC17	1510 	1510 	1510 	1510 	1510 	1510 	1510 	1510 	1510 	1510 
A,TOTAL,KM2,ITC18	3559 	3559 	3559 	3559 	3559 	3559 	3559 	3559 	3559 	3559 
A,TOTAL,KM2,ITC2	3261 	3261 	3261 	3261 	3261 	3261 	3261 	3261 	3261 	3261 
A,TOTAL,KM2,ITC20	3261 	3261 	3261 	3261 	3261 	3261 	3261 	3261 	3261 	3261 
A,TOTAL,KM2,ITC3	5416 	5416 	5416 	5416 	5416 	5416 	5416 	5416 	5416 	5416 
A,TOTAL,KM2,ITC31	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 
A,TOTAL,KM2,ITC32	1546 	1546 	1546 	1546 	1546 	1546 	1546 	1546 	1546 	1546 
A,TOTAL,KM2,ITC33	1834 	1834 	1834 	1834 	1834 	1834 	1834 	1834 	1834 	1834 
A,TOTAL,KM2,ITC34	881 	881 	881 	881 	881 	881 	881 	881 	881 	881 
A,TOTAL,KM2,ITC4	23864 	23864 	23864 	23864 	23864 	23864 	23864 	23864 	23864 	23864 
A,TOTAL,KM2,ITC41	1198 	1198 	1198 	1198 	1198 	1198 	1198 	1198 	1198 	1198 
A,TOTAL,KM2,ITC42	1279 	1279 	1279 	1279 	1279 	1279 	1279 	1279 	1279 	1279 
A,TOTAL,KM2,ITC43	815 	815 	815 	815 	815 	815 	815 	815 	815 	815 
A,TOTAL,KM2,ITC44	3196 	3196 	3196 	3196 	3196 	3196 	3196 	3196 	3196 	3196 
A,TOTAL,KM2,ITC46	2746 	2746 	2746 	2746 	2746 	2746 	2746 	2746 	2746 	2746 
A,TOTAL,KM2,ITC47	4786 	4786 	4786 	4786 	4786 	4786 	4786 	4786 	4786 	4786 
A,TOTAL,KM2,ITC48	2969 	2969 	2969 	2969 	2969 	2969 	2969 	2969 	2969 	2969 
A,TOTAL,KM2,ITC49	783 	783 	783 	783 	783 	783 	783 	783 	783 	783 
