A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,DE11B	1304 	1304 	1304 	1304 	1304 	1304 	1304 	1304 	1304 	1304 
A,TOTAL,KM2,DE11C	627 	627 	627 	627 	627 	627 	627 	627 	627 	627 
A,TOTAL,KM2,DE11D	1511 	1511 	1511 	1511 	1511 	1511 	1511 	1511 	1511 	1511 
A,TOTAL,KM2,DE12	6918 	6917 	6917 	6917 	6917 	6917 	6917 	6917 	6917 	6917 
A,TOTAL,KM2,DE121	140 	140 	140 	140 	140 	140 	140 	140 	140 	140 
A,TOTAL,KM2,DE122	173 	173 	173 	173 	173 	173 	173 	173 	173 	173 
A,TOTAL,KM2,DE123	1085 	1085 	1085 	1085 	1085 	1085 	1085 	1085 	1085 	1085 
A,TOTAL,KM2,DE124	738 	738 	738 	738 	738 	738 	738 	738 	738 	738 
A,TOTAL,KM2,DE125	109 	109 	109 	109 	109 	109 	109 	109 	109 	109 
A,TOTAL,KM2,DE126	145 	145 	145 	145 	145 	145 	145 	145 	145 	145 
A,TOTAL,KM2,DE127	1126 	1126 	1126 	1126 	1126 	1126 	1126 	1126 	1126 	1126 
A,TOTAL,KM2,DE128	1062 	1062 	1062 	1062 	1062 	1062 	1062 	1062 	1062 	1062 
A,TOTAL,KM2,DE129	98 	98 	98 	98 	98 	98 	98 	98 	98 	98 
