freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,I551-I553,DE22A	410049 	429809 	609891 	650752 	670150 
A,DOM,NR,I551-I553,DE22B	433458 	362338 	567855 	591034 	536957 
A,DOM,NR,I551-I553,DE22C	106803 	136182 	151346 	155883 	139008 
A,DOM,NR,I551-I553,DE23	2781684 	2836091 	3993612 	4268844 	4260747 
A,DOM,NR,I551-I553,DE231	36617 	41537 	58796 	66458 	75532 
A,DOM,NR,I551-I553,DE232	505163 	514728 	898448 	1027162 	1035295 
A,DOM,NR,I551-I553,DE233	37145 	41770 	65164 	61209 	63150 
A,DOM,NR,I551-I553,DE234	136698 	153864 	230924 	240734 	236595 
A,DOM,NR,I551-I553,DE235	1112930 	1026143 	1377756 	1422020 	1420384 
A,DOM,NR,I551-I553,DE236	161427 	184206 	259526 	277300 	294912 
A,DOM,NR,I551-I553,DE237	131549 	154496 	175590 	194988 	189080 
A,DOM,NR,I551-I553,DE238	185585 	193071 	263576 	267795 	252317 
A,DOM,NR,I551-I553,DE239	272870 	299875 	360923 	393457 	395129 
A,DOM,NR,I551-I553,DE23A	201700 	226401 	302909 	317721 	298353 
A,DOM,NR,I551-I553,DE24	2520235 	2685552 	3848872 	4121771 	4116836 
A,DOM,NR,I551-I553,DE241	406494 	424327 	626773 	685388 	719804 
A,DOM,NR,I551-I553,DE242	175938 	203009 	320628 	342761 	358553 
A,DOM,NR,I551-I553,DE243	66546 	67864 	111751 	136566 	144161 
A,DOM,NR,I551-I553,DE244	77800 	88479 	119313 	115842 	117679 
A,DOM,NR,I551-I553,DE245	234936 	251192 	335193 	341816 	344795 
A,DOM,NR,I551-I553,DE246	410765 	387715 	559592 	599247 	584016 
A,DOM,NR,I551-I553,DE247	87592 	88977 	118532 	128864 	125560 
A,DOM,NR,I551-I553,DE248	209533 	236524 	342577 	376612 	341028 
A,DOM,NR,I551-I553,DE249	153626 	162216 	228781 	264216 	256499 
A,DOM,NR,I551-I553,DE24A	102509 	124562 	164960 	157112 	158627 
A,DOM,NR,I551-I553,DE24B	137504 	173729 	194177 	195476 	200952 
